time_s,temperature_C,pwm,direction
217.84,21.73,82,COOL
218.36,21.82,82,COOL
218.89,21.82,82,COOL
219.41,21.73,82,COOL
219.94,21.73,82,COOL
220.47,21.73,82,COOL
220.99,21.73,82,COOL
221.52,21.73,82,COOL
222.04,21.82,82,COOL
222.57,21.82,82,COOL
223.09,21.73,82,COOL
223.62,21.73,82,COOL
224.14,21.73,82,COOL
224.67,21.73,82,COOL
225.2,21.82,82,COOL
225.72,21.73,82,COOL
226.25,21.73,82,COOL
226.77,21.73,82,COOL
227.3,21.73,82,COOL
227.82,21.73,82,COOL
228.35,21.73,82,COOL
228.88,21.73,82,COOL
229.4,21.82,82,COOL
229.93,21.73,82,COOL
230.45,21.82,82,COOL
230.98,21.82,82,COOL
231.5,21.73,82,COOL
232.03,21.73,82,COOL
232.55,21.73,82,COOL
233.08,21.73,82,COOL
233.61,21.82,82,COOL
234.13,21.73,82,COOL
234.66,21.73,82,COOL
235.18,21.73,82,COOL
235.71,21.73,82,COOL
236.23,21.73,82,COOL
236.76,21.73,82,COOL
237.28,21.73,82,COOL
237.81,21.73,82,COOL
238.33,21.82,82,COOL
238.86,21.73,82,COOL
239.39,21.73,82,COOL
239.91,21.82,82,COOL
240.44,21.82,82,COOL
240.96,21.73,82,COOL
241.49,21.73,82,COOL
242.01,21.82,82,COOL
242.54,21.82,82,COOL
243.07,21.73,82,COOL
243.59,21.73,82,COOL
244.12,21.73,82,COOL
244.64,21.82,82,COOL
245.17,21.82,82,COOL
245.69,21.82,82,COOL
246.22,21.73,82,COOL
246.74,21.73,82,COOL
247.27,21.82,82,COOL
247.8,21.82,82,COOL
248.32,21.82,82,COOL
248.85,21.73,82,COOL
249.37,21.73,82,COOL
249.9,21.73,82,COOL
250.42,21.73,82,COOL
250.95,21.82,82,COOL
251.47,21.73,82,COOL
252.0,21.82,82,COOL
252.52,21.73,82,COOL
253.05,21.73,82,COOL
253.58,21.82,82,COOL
254.1,21.73,82,COOL
254.63,21.73,82,COOL
255.15,21.73,82,COOL
255.68,21.73,82,COOL
256.2,21.73,82,COOL
256.73,21.73,82,COOL
257.26,21.73,82,COOL
257.78,21.73,82,COOL
258.31,21.73,82,COOL
258.83,21.82,82,COOL
259.36,21.82,82,COOL
259.88,21.73,82,COOL
260.41,21.73,82,COOL
260.93,21.73,82,COOL
261.46,21.73,82,COOL
261.99,21.73,82,COOL
262.51,21.73,82,COOL
263.04,21.73,82,COOL
263.56,21.73,82,COOL
264.09,21.82,82,COOL
264.61,21.73,82,COOL
265.14,21.73,82,COOL
265.67,21.73,82,COOL
266.19,21.73,82,COOL
266.72,21.82,82,COOL
267.24,21.82,82,COOL
267.77,21.73,82,COOL
268.29,21.82,82,COOL
268.82,21.73,82,COOL
269.34,21.82,82,COOL
269.87,21.82,82,COOL
270.39,21.73,82,COOL
270.92,21.73,82,COOL
271.45,21.73,82,COOL
271.97,21.73,82,COOL
272.5,21.73,82,COOL
273.02,21.73,82,COOL
273.55,21.73,82,COOL
274.07,21.73,82,COOL
274.6,21.73,82,COOL
275.13,21.73,82,COOL
275.65,21.73,82,COOL
276.18,21.82,82,COOL
276.7,21.73,82,COOL
277.23,21.73,82,COOL
277.75,21.73,82,COOL
278.28,21.73,82,COOL
278.8,21.82,82,COOL
279.33,21.73,82,COOL
279.86,21.73,82,COOL
280.38,21.73,82,COOL
280.91,21.73,82,COOL
281.43,21.73,82,COOL
281.96,21.82,82,COOL
282.48,21.73,82,COOL
283.01,21.73,82,COOL
283.53,21.73,82,COOL
284.06,21.82,82,COOL
284.58,21.82,82,COOL
285.11,21.73,82,COOL
285.64,21.73,82,COOL
286.16,21.73,82,COOL
286.69,21.73,82,COOL
287.21,21.73,82,COOL
287.74,21.73,82,COOL
288.27,21.82,82,COOL
288.79,21.73,82,COOL
289.32,21.82,82,COOL
289.84,21.73,82,COOL
290.37,21.82,82,COOL
290.89,21.9,82,COOL
291.42,21.82,82,COOL
291.94,21.82,82,COOL
292.47,21.82,82,COOL
293.0,21.73,82,COOL
293.52,21.73,82,COOL
294.05,21.73,82,COOL
294.57,21.82,82,COOL
295.1,21.82,82,COOL
295.62,21.82,82,COOL
296.15,21.82,82,COOL
296.67,21.73,82,COOL
297.2,21.73,82,COOL
297.72,21.73,82,COOL
298.25,21.73,82,COOL
298.78,21.82,82,COOL
299.3,21.73,82,COOL
299.83,21.73,82,COOL
300.35,21.73,82,COOL
300.88,21.73,82,COOL
301.4,21.73,82,COOL
301.93,21.73,82,COOL
302.45,21.73,82,COOL
302.98,21.73,82,COOL
303.51,21.73,82,COOL
304.03,21.73,82,COOL
304.56,21.73,82,COOL
305.08,21.82,82,COOL
305.61,21.73,82,COOL
306.13,21.82,82,COOL
306.66,21.82,82,COOL
307.19,21.73,82,COOL
307.71,21.73,82,COOL
308.24,21.73,82,COOL
308.76,21.73,82,COOL
309.29,21.73,82,COOL
309.81,21.73,82,COOL
310.34,21.73,82,COOL
310.86,21.73,82,COOL
311.39,21.82,82,COOL
311.92,21.73,82,COOL
312.44,21.73,82,COOL
312.97,21.73,82,COOL
313.49,21.73,82,COOL
314.02,21.73,82,COOL
314.54,21.82,82,COOL
315.07,21.82,82,COOL
315.59,21.73,82,COOL
316.12,21.73,82,COOL
316.64,21.73,82,COOL
317.17,21.82,82,COOL
317.7,21.73,82,COOL
318.22,21.73,82,COOL
318.75,21.82,82,COOL
319.27,21.73,82,COOL
319.8,21.82,82,COOL
320.32,21.73,82,COOL
320.85,21.73,82,COOL
321.38,21.73,82,COOL
321.9,21.82,82,COOL
322.43,21.73,82,COOL
322.95,21.73,82,COOL
323.48,21.73,82,COOL
324.0,21.73,82,COOL
324.53,21.82,82,COOL
325.05,21.82,82,COOL
325.58,21.73,82,COOL
326.11,21.73,82,COOL
326.63,21.73,82,COOL
327.16,21.73,82,COOL
327.68,21.73,82,COOL
328.21,21.73,82,COOL
328.73,21.73,82,COOL
329.26,21.73,82,COOL
329.79,21.73,82,COOL
330.31,21.73,82,COOL
330.83,21.73,82,COOL
331.36,21.82,82,COOL
331.89,21.73,82,COOL
332.41,21.82,82,COOL
332.94,21.73,82,COOL
333.46,21.73,82,COOL
333.99,21.73,82,COOL
334.52,21.73,82,COOL
335.04,21.73,82,COOL
335.57,21.73,82,COOL
336.09,21.73,82,COOL
336.62,21.82,82,COOL
337.14,21.73,82,COOL
337.67,21.73,82,COOL
338.19,21.73,82,COOL
338.72,21.73,82,COOL
339.25,21.73,82,COOL
339.77,21.73,82,COOL
340.3,21.73,82,COOL
340.82,21.73,82,COOL
341.35,21.73,82,COOL
341.87,21.82,82,COOL
342.4,21.73,82,COOL
342.92,21.73,82,COOL
343.45,21.73,82,COOL
343.98,21.73,82,COOL
344.5,21.73,82,COOL
345.03,21.82,82,COOL
345.55,21.73,82,COOL
346.08,21.73,82,COOL
346.6,21.73,82,COOL
347.13,21.73,82,COOL
347.66,21.73,82,COOL
348.18,21.73,82,COOL
348.7,21.73,82,COOL
349.23,21.82,82,COOL
349.76,21.73,82,COOL
350.28,21.73,82,COOL
350.81,21.73,82,COOL
351.33,21.82,82,COOL
351.86,21.73,82,COOL
352.39,21.73,82,COOL
352.91,21.73,82,COOL
353.44,21.73,82,COOL
353.96,21.73,82,COOL
354.49,21.73,82,COOL
355.01,21.73,82,COOL
355.54,21.73,82,COOL
356.06,21.73,82,COOL
356.59,21.73,82,COOL
357.11,21.73,82,COOL
357.64,21.73,82,COOL
358.17,21.73,82,COOL
358.69,21.73,82,COOL
359.22,21.73,82,COOL
359.74,21.73,82,COOL
360.27,21.73,82,COOL
360.79,21.73,82,COOL
361.32,21.73,82,COOL
361.85,21.73,82,COOL
362.37,21.73,82,COOL
362.9,21.73,82,COOL
363.42,21.73,82,COOL
363.95,21.73,82,COOL
364.47,21.73,82,COOL
365.0,21.73,82,COOL
365.52,21.73,82,COOL
366.05,21.73,82,COOL
366.58,21.73,82,COOL
367.1,21.73,82,COOL
367.63,21.73,82,COOL
368.15,21.56,83,COOL
368.68,21.73,82,COOL
369.2,21.73,82,COOL
369.73,21.64,82,COOL
370.25,21.73,82,COOL
370.78,21.73,82,COOL
371.3,21.73,82,COOL
371.83,21.73,82,COOL
372.36,21.73,82,COOL
372.88,21.73,82,COOL
373.41,21.73,82,COOL
373.93,21.73,82,COOL
374.46,21.73,82,COOL
374.98,21.73,82,COOL
375.51,21.73,82,COOL
376.04,21.73,82,COOL
376.56,21.73,82,COOL
377.09,21.73,82,COOL
377.61,21.73,82,COOL
378.14,21.73,82,COOL
378.66,21.73,82,COOL
379.19,21.73,82,COOL
379.71,21.73,82,COOL
380.24,21.73,82,COOL
380.77,21.73,82,COOL
381.29,21.64,82,COOL
381.82,21.73,82,COOL
382.34,21.73,82,COOL
382.87,21.64,82,COOL
383.39,21.64,82,COOL
383.92,21.64,82,COOL
384.45,21.64,82,COOL
384.97,21.64,82,COOL
385.5,21.64,82,COOL
386.02,21.64,83,COOL
386.55,21.64,82,COOL
387.07,21.64,82,COOL
387.6,21.64,83,COOL
388.12,21.64,82,COOL
388.65,21.64,83,COOL
389.17,21.64,82,COOL
389.7,21.64,82,COOL
390.23,21.73,82,COOL
390.75,21.64,83,COOL
391.28,21.64,82,COOL
391.8,21.64,82,COOL
392.33,21.64,82,COOL
392.85,21.73,82,COOL
393.38,21.64,82,COOL
393.91,21.64,82,COOL
394.43,21.64,83,COOL
394.96,21.64,82,COOL
395.48,21.64,82,COOL
396.01,21.64,82,COOL
396.53,21.64,82,COOL
397.06,21.64,82,COOL
397.58,21.64,82,COOL
398.11,21.64,82,COOL
398.64,21.64,82,COOL
399.16,21.73,82,COOL
399.69,21.64,82,COOL
400.21,21.64,82,COOL
400.74,21.64,83,COOL
401.26,21.73,82,COOL
401.79,21.64,82,COOL
402.31,21.64,83,COOL
402.84,21.64,82,COOL
403.36,21.64,82,COOL
403.89,21.64,82,COOL
404.42,21.64,82,COOL
404.94,21.64,82,COOL
405.47,21.64,82,COOL
405.99,21.64,82,COOL
406.52,21.64,83,COOL
407.05,21.64,82,COOL
407.57,21.64,82,COOL
408.1,21.64,83,COOL
408.62,21.64,82,COOL
0.5,21.56,0,HEAT
1.0,21.56,0,HEAT
1.5,21.64,0,HEAT
2.0,21.64,0,HEAT
2.5,21.56,0,HEAT
3.0,21.56,0,HEAT
3.5,21.56,0,HEAT
4.0,21.56,0,HEAT
